source,filename,relative_path,absolute_path,pages,sha256,title,author
NCERT,kemh114.pdf,kemh1dd/kemh114.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh114.pdf,25,5fa16487face00ddff9fe2b4668fb3bdac0e0694a4ca515616ffea89506ac4ee,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\CH_16\Probability.PMD,admin
NCERT,kemh1a1.pdf,kemh1dd/kemh1a1.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh1a1.pdf,9,7c900ad40d3c33c7efd592110555dd643e9d4cb170dcacdd00ad74e0ad45ff4b,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\APPENDIX 1\Appendix A (Ch_187) FINAL 05.01.PMD,admin
NCERT,kemh1a2.pdf,kemh1dd/kemh1a2.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh1a2.pdf,12,44815596e91e5db458101c92cb143253dff6413a17b9776986415b5ad3e3ba2a,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\APPENDIX 2\Mathematical Modelling Appendix 2.PMD,admin
NCERT,kemh1an.pdf,kemh1dd/kemh1an.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh1an.pdf,22,fe04d7d4517211c81f0033a58d703d75b09d87bac75479e8592ffe530a17913b,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\ANSWERS\Answers Key.pmd,admin
NCERT,kemh1ps.pdf,kemh1dd/kemh1ps.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh1ps.pdf,12,cd9c1697533ef25daed84bff0c93d305978485edb88564168357ad62d983c45e,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\Prelims\Prelims.pmd,admin
NCERT,kemh1sm.pdf,kemh1dd/kemh1sm.pdf,/home/jiitcah.05/nlp_research_module/datasets/raw_docs/kemh1dd/kemh1sm.pdf,8,b367c23e57dec765249f3506269c2d3a7f4d4ba9c6c0a88c3fe65603c3f6adae,D:\Textbooks\Rationalised Textbooks 2022-23\11076 — Mathematics\1 Source Files\Supplementary Material\supplimentary material for mathematics class-XI.pmd,admin
EXEMPLAR,jeep201.pdf,10th_maths/jeep201.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep201.pdf,7,fc086ce751578d627b0a0ca8d30e420d8ecbc82df2b23fbf7ae2f472f9540599,Ch-1 (26-2-2009).pmd,NCERT
EXEMPLAR,jeep202.pdf,10th_maths/jeep202.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep202.pdf,8,9a52d86311c46198975ac6f16e55c7c485738deeeb45740ff842fd0dc595fbc9,Ch-2  (26-2-2009).pmd,NCERT
EXEMPLAR,jeep203.pdf,10th_maths/jeep203.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep203.pdf,19,1df95896811850fcd3610ec326ec285a5d2cb1157d9381d93aa9699cf89e3af1,Ch_3 (26-2-2009).pmd,NCERT
EXEMPLAR,jeep204.pdf,10th_maths/jeep204.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/10th_maths/jeep204.pdf,9,e9f33b659ccba4d716b4ed5632d7c7cf0e9e6fa9a99ec1c3396a917d17bdee0c,Ch-4 (26-2-2009).pmd,NCERT
